製作日期: 2025-07-24 08:46:54,,,,篩選日期: 2025-05-19 00:00:00 ~ 2025-07-24 23:59:59,,,,,
收文清單,,,,,,,,,
共 64 件公文,,,,,,,,,
序號,收文日期,公文日期,類別,字,文號,主旨,發文單位,受文單位,狀態
41,2025-06-11 17:36:30,中華民國114年6月11日,函,中分局單信,1145018776,"有關所提「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」無人機能力審查證明及無人機作業手冊一案，業經本分局同意備查，請查照。
",交通部公路局中區養護工程分局信義工務段,"EB50819619
乾坤測繪科技有限公司",收文完成
42,2025-06-11 12:44:45,中華民國114年6月11日,函,桃工用,1140022761,"檢還「大漢溪左岸新闢道路工程」用地取得協議價購不動產估價報告書，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
43,2025-06-11 11:39:35,中華民國114年6月11日,函,桃工用,1140022926,"檢送本局委託貴公司辦理本市「八德區和強路（和平路至延平路）拓寬工程」需用土地地上物查估作業，請再次查估檢視本市八德區中華段1328-2地號地價及地上物，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
44,2025-06-10 15:16:50,中華民國114年6月10日,開會通知單,府工用,1140154199,"桃園市「桃園區同德十二街道路開闢工程」用地取得協議價購或以其他方式取得會議
",桃園市政府,"EB50819619
乾坤測繪科技有限公司",收文完成
45,2025-06-10 15:00:23,中華民國114年6月9日,函,(114)永能新,1140010476,"敬邀貴單位參加「2025亞太暨台灣永續行動獎」評選活動，展現永續施政績效，敬請協助公告並轉知所屬，鼓勵踴躍報名參加，請查照。
",財團法人台灣永續能源研究基金會,"EB50819619
乾坤測繪科技有限公司",收文完成
46,2025-06-10 09:25:53,中華民國114年6月9日,函,中分局養,1145018610,"檢送本分局114年6月9日辦理「埔里工務段、信義工務段優先關注邊坡光達應用暨進階圖資建置計畫(第六期)」驗收紀錄1份，相關驗收缺失，請貴公司於114年6月18日內完成改善，並報本分局埔里工務段核辦，請查照。
",交通部公路局中區養護工程分局,"EB50819619
乾坤測繪科技有限公司",收文完成
47,2025-06-06 14:13:47,中華民國114年6月6日,函,桃工用,1140022047,"有關貴公司提請辦理「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」第四批次部分驗收一案，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
48,2025-06-05 10:53:45,中華民國114年6月5日,函,桃工用,1140021771,"有關本市「虎頭山三聖宮前串連台1線新闢道路工程」及「平鎮區平東路239巷94弄至華安街道路工程」用地取得土地徵收補償查估審議2案，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
49,2025-06-04 17:22:15,中華民國114年6月4日,函,中分局單信,1145018160,"檢送本段114年5月27日召開「埔里工務段、信義工務段優先關注邊坡光達應用暨進階檢測圖資建置計畫(第七期)」開工前協調會議紀錄1份，業經本分局同意備查，請查照。
",交通部公路局中區養護工程分局信義工務段,"EB50819619
乾坤測繪科技有限公司",收文完成
50,2025-06-03 14:33:24,中華民國114年6月3日,函,桃工用,1140021661,"有關本局召開「複估本市「新屋區中華南路一段(福九路至高鐵南路七段)道路拓寬工程」案內中華段1044及1046地號土地地上物(電表及水表)」會勘，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
51,2025-05-29 14:24:04,中華民國114年5月29日,開會通知單,府工用,1140146400,"本市「八德區和強路(和平路至延平路)拓寬工程」協議價購或以其他方式取得會議
",桃園市政府,"EB50819619
乾坤測繪科技有限公司",收文完成
52,2025-05-29 14:23:56,中華民國114年5月29日,函,桃工用,1140021017,"有關貴公司檢送「112至113年度桃園市轄內興辦公共設施工程用地取得所需土地市價及地上物查估、測量作業暨相關計畫書製作委託專業服務(開口契約)」－派工單(090)之本市桃園區「國強一街至文中路道路開闢工程」導線及1/500地形測量作業成果乙式，同意核定，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
53,2025-05-28 12:42:53,中華民國114年5月28日,函,桃工用,11400208941,"檢送「114年度桃園市都市計畫內公共設施完竣地區調查及範圍劃定管理系統建置計畫」派工範圍土地清冊1份，詳如說明，請查照。
",桃園市政府工務局,"EB50819619
乾坤測繪科技有限公司",收文完成
